,pH.preference,Predicted pH (XGBoost)
0,3.724741011,3.749095
1,3.839539646,4.1060486
2,3.902704591,4.4574475
3,3.914741011,4.0606165
4,3.984741011,4.0045643
5,3.98896466,3.9914129
6,3.994382925,4.0837836
7,4.02152661,4.046872
8,4.057128105,5.324228
9,4.057128105,4.07767
10,4.119884881,4.264202
11,4.162673025,4.108238
12,4.162673025,5.9945235
13,4.16896466,4.376561
14,4.206215809,4.5269947
15,4.264382925,5.04774
16,4.264382925,4.3897977
17,4.322909537,4.492383
18,4.34896466,4.3693695
19,4.34896466,4.3693695
20,4.394971218,4.5542626
21,4.41896466,4.44414
22,4.43152661,4.443816
23,4.43152661,4.731745
24,4.469884881,5.3637877
25,4.482679136,4.5532937
26,4.482679136,4.748834
27,4.500153841,4.669529
28,4.544382925,5.2485824
29,4.573591191,5.3738
30,4.61816053,4.5269947
31,4.630153841,5.3156476
32,4.662672792,4.6132145
33,4.704382925,5.169056
34,4.708875029,4.756535
35,4.83896466,5.2104483
36,4.850153841,4.935197
37,4.88152661,5.5334134
38,4.887128105,5.169056
39,4.904280839,4.879677
40,5.022420669,5.091462
41,5.024741011,5.7733626
42,5.047128105,5.2223697
43,5.074280839,5.082056
44,5.094691405,5.2485824
45,5.094691405,5.038477
46,5.105868465,5.1363277
47,5.119884881,5.122188
48,5.149539646,4.5269947
49,5.154801797,5.253042
50,5.185668249,5.5853276
51,5.192673025,5.2002
52,5.192673025,5.3738
53,5.233591191,5.3977776
54,5.23816053,6.444959
55,5.294971218,5.159038
56,5.414971218,4.669529
57,5.439539646,5.801456
58,5.442672792,5.833353
59,5.442672792,5.4556494
60,5.44816053,5.3637877
61,5.559884881,5.6859293
62,5.592428764,5.427696
63,5.629884881,6.145189
64,5.659539646,5.2485824
65,5.709539646,5.7733626
66,5.709539646,6.3065
67,5.724280839,5.800975
68,5.73896466,5.786036
69,5.73896466,6.605454
70,5.754280839,5.684332
71,5.784741011,5.722559
72,5.949539646,5.9592066
73,5.964741011,5.5334134
74,6.094949281,5.7527037
75,6.094949281,5.8756375
76,6.094949281,5.8769126
77,6.177128105,6.3065
78,6.204971218,5.867172
79,6.204971218,6.1207128
80,6.222428764,6.053829
81,6.390153841,6.277838
82,6.508555915,5.7733626
83,6.508555915,6.4849787
84,6.508555915,6.6215324
85,6.64816053,6.415375
86,6.64816053,6.5232787
87,6.64816053,7.075459
88,6.64816053,7.2569466
89,6.694280839,6.655536
90,6.694280839,6.6373
91,6.694280839,6.886038
92,6.724280839,6.830438
93,6.724280839,6.5390005
94,6.724280839,6.2773495
95,6.724280839,6.3632193
96,7.084741011,5.9945235
97,7.104971218,6.1300545
98,7.104971218,6.9549394
99,7.109539646,7.212021
100,7.109539646,6.4116683
101,7.317128105,6.9468393
102,7.317128105,7.060084
103,5.0,5.5424232
104,5.0,5.038477
105,5.0,4.3897977
106,5.2,6.5825577
107,5.3,5.9720783
108,5.3,5.5424232
109,5.3,5.3637877
110,5.3,5.269619
111,5.3,5.997639
112,5.3,5.408486
113,5.4,5.091462
114,5.4,6.366411
115,5.4,5.5570216
116,5.5,5.394103
117,5.5,5.813093
118,5.6,6.0268164
119,5.6,5.758087
120,5.8,5.763836
121,5.8,5.740752
122,5.9,5.8757734
123,5.9,6.2177505
124,6.0,6.181273
125,6.0,6.1721845
126,6.0,5.956498
127,6.0,6.1478276
128,6.1,6.0268164
129,6.1,6.4130282
130,6.1,5.5570216
131,6.1,6.225075
132,6.2,6.1793346
133,6.2,6.7013664
134,6.2,6.1478276
135,6.3,6.30663
136,6.3,6.2088094
137,6.3,6.104703
138,6.4,6.5945377
139,6.4,6.2728057
140,6.4,6.33639
141,6.6,5.997639
142,6.6,6.104703
143,6.6,6.5908375
144,6.7,6.7196584
145,6.7,6.8220067
146,7.1,6.689598
147,7.3,7.4519444
148,7.6,7.3062406
149,7.6,7.669357
150,7.6,7.029806
151,7.7,7.4945817
152,7.7,7.4201427
