ASV,pH.preference,"Predicted pH (XGBoost, permutation)"
0,3.724741011,3.981375
1,3.839539646,4.8277197
2,3.902704591,5.362956
3,3.914741011,4.871972
4,3.984741011,4.2362037
5,3.98896466,3.9373085
6,3.994382925,4.030122
7,4.02152661,4.005458
8,4.057128105,5.5479198
9,4.057128105,4.319673
10,4.119884881,4.4808645
11,4.162673025,4.139242
12,4.162673025,6.0395904
13,4.16896466,5.0144954
14,4.206215809,4.6588383
15,4.264382925,5.3185043
16,4.264382925,4.4971876
17,4.322909537,4.95393
18,4.34896466,4.402135
19,4.34896466,4.402135
20,4.394971218,4.6579485
21,4.41896466,4.5051923
22,4.43152661,4.5529494
23,4.43152661,5.0183926
24,4.469884881,5.2296534
25,4.482679136,4.690534
26,4.482679136,5.115157
27,4.500153841,5.1821256
28,4.544382925,5.516618
29,4.573591191,6.2594733
30,4.61816053,4.6588383
31,4.630153841,5.9273167
32,4.662672792,4.809827
33,4.704382925,5.585243
34,4.708875029,4.9801188
35,4.83896466,5.5266995
36,4.850153841,4.7337236
37,4.88152661,6.092264
38,4.887128105,5.585243
39,4.904280839,5.037113
40,5.022420669,5.228583
41,5.024741011,5.7034254
42,5.047128105,5.200141
43,5.074280839,5.2632923
44,5.094691405,5.516618
45,5.094691405,5.1450753
46,5.105868465,5.3539667
47,5.119884881,5.0530157
48,5.149539646,4.6588383
49,5.154801797,5.3810024
50,5.185668249,6.2651687
51,5.192673025,5.1956463
52,5.192673025,6.2594733
53,5.233591191,5.67556
54,5.23816053,6.2898855
55,5.294971218,5.0261874
56,5.414971218,5.1821256
57,5.439539646,6.1393824
58,5.442672792,6.0272818
59,5.442672792,5.527072
60,5.44816053,5.2296534
61,5.559884881,6.189437
62,5.592428764,5.607512
63,5.629884881,6.132122
64,5.659539646,5.516618
65,5.709539646,5.7034254
66,5.709539646,6.2899127
67,5.724280839,5.948458
68,5.73896466,5.9839087
69,5.73896466,6.6326637
70,5.754280839,5.6034174
71,5.784741011,5.4778557
72,5.949539646,6.0002804
73,5.964741011,6.092264
74,6.094949281,5.5257626
75,6.094949281,5.504454
76,6.094949281,5.6663456
77,6.177128105,6.2899127
78,6.204971218,6.0298486
79,6.204971218,5.820485
80,6.222428764,6.2160106
81,6.390153841,6.1880565
82,6.508555915,5.7034254
83,6.508555915,6.3273253
84,6.508555915,6.555365
85,6.64816053,6.1096582
86,6.64816053,6.233774
87,6.64816053,7.1425495
88,6.64816053,7.266732
89,6.694280839,6.7767787
90,6.694280839,6.60528
91,6.694280839,7.097455
92,6.724280839,6.758005
93,6.724280839,6.493217
94,6.724280839,6.4221187
95,6.724280839,5.5823274
96,7.084741011,6.0395904
97,7.104971218,6.4543695
98,7.104971218,6.6226296
99,7.109539646,7.141585
100,7.109539646,6.1438627
101,7.317128105,6.6950016
102,7.317128105,6.726899
103,5.0,5.75686
104,5.0,5.1450753
105,5.0,4.4971876
106,5.2,6.2298455
107,5.3,6.552208
108,5.3,5.75686
109,5.3,5.2296534
110,5.3,5.139651
111,5.3,6.1308613
112,5.3,5.8601856
113,5.4,5.228583
114,5.4,6.2322397
115,5.4,5.6012454
116,5.5,4.871972
117,5.5,5.9704566
118,5.6,6.0389595
119,5.6,5.785196
120,5.8,5.740093
121,5.8,5.459064
122,5.9,5.7758756
123,5.9,6.253211
124,6.0,6.3232102
125,6.0,6.3738065
126,6.0,5.7627378
127,6.0,6.222641
128,6.1,6.0389595
129,6.1,6.0916767
130,6.1,5.6012454
131,6.1,6.1649084
132,6.2,6.4284067
133,6.2,6.1483397
134,6.2,6.222641
135,6.3,6.1872764
136,6.3,6.2641068
137,6.3,6.187708
138,6.4,6.5649686
139,6.4,6.1871614
140,6.4,6.2650065
141,6.6,6.1308613
142,6.6,6.187708
143,6.6,6.4514494
144,6.7,6.9347315
145,6.7,6.947752
146,7.1,6.1814837
147,7.3,7.5866656
148,7.6,7.2250395
149,7.6,7.549595
150,7.6,6.9429913
151,7.7,6.9586635
152,7.7,7.297582
153,7.7,6.4514494
154,7.8,7.4621096
155,8.2,7.550516
156,8.4,7.773796
157,8.6,8.630483
158,8.7,8.630483
159,9.0,8.630483
160,9.1,7.6269517
161,4.13,5.582019
162,4.24,4.424812
163,4.35,5.031588
164,4.45,4.7076406
165,4.47,4.5051923
166,4.52,5.0158763
167,4.52,4.5473504
168,4.59,5.1821256
169,4.74,5.607512
170,4.79,5.3581853
171,4.81,5.6343536
172,4.86,5.629441
173,4.89,5.228583
174,5.09,5.3539667
175,5.16,5.4463453
176,5.17,4.871972
177,5.18,5.326943
178,5.27,5.6012454
179,5.28,5.0158763
180,5.28,5.731654
